Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Bitmain acquires BlockTrail,BlockTrail,Bitmain,07/20/2016,
Fundamental Applications Corp acquires Opinit,Opinit,Fundamental Applications Corp,07/28/2016,
Pfizer acquires Bamboo Therapeutics,Bamboo Therapeutics,Pfizer,08/01/2016,"$654,000,000"
Market6 acquires 84.51˚,84.51˚,Market6,08/01/2016,
FXLabs Studios Private Ltd acquires Knibble,Knibble,FXLabs Studios Private Ltd,12/01/2007,
dunnhumby acquires Standard Analytics,Standard Analytics,dunnhumby,06/18/2013,
UDG Healthcare acquires Nyxeon,Nyxeon,UDG Healthcare,07/08/2014,"£13,000,000"
AssuredPartners acquires The Wright Group,The Wright Group,AssuredPartners,07/30/2014,
Empeiria Capital Partners acquires Tank Partners,Tank Partners,Empeiria Capital Partners,09/15/2014,
Life360 acquires HelloWorld,HelloWorld,Life360,10/21/2014,
National Response acquires Emerald Alaska,Emerald Alaska,National Response,11/03/2014,
SaltMines Group acquires I Like My Waitress,I Like My Waitress,SaltMines Group,10/01/2014,
Alex Brands acquires Shrinky Dinks,Shrinky Dinks,Alex Brands,12/17/2014,
Essia Health acquires Eastside Specialty Scribes,Eastside Specialty Scribes,Essia Health,01/07/2015,
Pinterest acquires Kosei,Kosei,Pinterest,01/21/2015,
Intel acquires Composyt Light Labs,Composyt Light Labs,Intel,01/21/2015,
DataStax acquires Aurelius,Aurelius,DataStax,02/03/2015,
fitmob acquires Gymsurfing,Gymsurfing,fitmob,02/17/2015,
Check Point Software Technologies acquires Hyperwise,Hyperwise,Check Point Software Technologies,02/18/2015,"$80,000,000"
iyzico acquires mypat,mypat,iyzico,11/01/2014,
Docker acquires SocketPlane,SocketPlane,Docker,03/04/2015,
HubSpot acquires Rekindle,Rekindle,HubSpot,03/24/2015,
Intuit acquires Playbook HR,Playbook HR,Intuit,03/24/2015,
500v acquires Mashups,Mashups,500v,03/05/2015,
DeNA acquires Find Travel,Find Travel,DeNA,04/06/2015,
Reserve acquires HAIL,HAIL,Reserve,04/07/2015,
Square acquires Fastbite,Fastbite,Square,04/08/2015,
Satoshi Citadel Industries acquires BuyBitcoin,BuyBitcoin,Satoshi Citadel Industries,04/13/2015,
Apple acquires Linx Imaging,Linx Imaging,Apple,04/14/2015,"$20,000,000"
Rocket Internet acquires volo delivery,volo delivery,Rocket Internet,04/16/2015,
Toppr acquires EasyPrep,EasyPrep,Toppr,04/15/2015,
Newnote Financial acquires PayIvy,PayIvy,Newnote Financial,05/12/2015,"$260,000"
Autodesk acquires Modio,Modio,Autodesk,03/19/2015,
"Hortonworks acquires SequenceIQ, Inc.","SequenceIQ, Inc.",Hortonworks,04/13/2015,
Vox Media acquires Re/code,Re/code,Vox Media,05/26/2015,
Oculus acquires Surreal Vision Ltd,Surreal Vision Ltd,Oculus,05/26/2015,
Zealot Networks acquires Southern Made,Southern Made,Zealot Networks,05/28/2015,
Bloglovin acquires Finale,Finale,Bloglovin,06/09/2015,
"REI (Recreational Equipment, Inc.) acquires Adventure Projects Inc",Adventure Projects Inc,"REI (Recreational Equipment, Inc.)",06/11/2015,
Zynga acquires superlabs,superlabs,Zynga,06/15/2015,
Twitter acquires Whetlab,Whetlab,Twitter,06/17/2015,
