active,byline,city,currency,description,end_date,funded_amt,funded_pct,headline,state,title,url
1,Ecomo Inc.,Mountain View,$,"Shake to test, twist to filter: A Smart Bottle that helps you to get rid of contaminants",2016-11-19,160699.0,321%,Ecomo: The World’s First Bottle That Tests & Filters Water,CA,Ecomo:,https://www.kickstarter.com/projects/ecomo/ecomo-the-worlds-first-bottle-that-tests-and-filte?ref=category
1,Glauco,Milan,€,"Revolt is the proof that a personal transportation aircraft can be easy, comfortable and cheap at the same time.",2016-10-19,31452.0,33%,REVOLT - Your revolutionary and affordable aircraft.,Lombardy,REVOLT -,https://www.kickstarter.com/projects/1897260901/revolt-your-revolutionary-and-affordable-aircraft?ref=category
1,Maker Pipe,Clemson,$,A simple system of connectors that allows you to build anything with electrical metal conduit.,2016-10-30,64747.0,647%,Maker Pipe - Build Anything with Electrical Conduit,SC,Maker Pipe -,https://www.kickstarter.com/projects/520849858/maker-pipe-build-anything-with-electrical-conduit?ref=category
1,Pree Walia,Menlo Park,$,Nailbot prints custom art directly on nails with your phone in 5 seconds! 3% of proceeds go towards teaching the tech behind Nailbot!,2016-11-14,62847.0,83%,Nailbot - The Smartphone Nail Art Printer,CA,Nailbot -,https://www.kickstarter.com/projects/907640389/nailbot-the-smartphone-nail-art-printer?ref=category
1,8Bitdo,Hong Kong,$,"The AP40 is a Bluetooth controller inspired by Apple's original retro logo. It is compatible with iOS / Android, PC, Mac and more.",2016-10-26,158149.0,126%,"AP40: a Bluetooth Controller for iOS/Android, Mac/PC & More",Hong Kong Island,"AP40: a Bluetooth Controller for iOS/Android,",https://www.kickstarter.com/projects/8bitdo/ap40-a-bluetooth-controller-for-ios-android-mac-pc?ref=category
1,Hong Wang,New York,$,"Clutchit!-patent pending technology- is the world's safest, most convenient and most stylish Phone Holder+Mount+Stand, all in one!",2016-11-13,8639.0,17%,ClutchIt! : The World's First Anywhere Magnetic Phone Mount,NY,ClutchIt! :,https://www.kickstarter.com/projects/thatsclutch/clutchit-the-worlds-first-magnetic-anywhere-phone?ref=category
1,Chad 'Chadtech' Stearns,Phoenix,$,"CtPaint is web-connected image editing software. Its perfect for pixel art. It can open, edit, and save any image on the web.",2016-11-14,451.0,0%,"CtPaint, the simple paint software missing from the internet",AZ,"CtPaint,",https://www.kickstarter.com/projects/613927423/ctpaint-the-simple-paint-software-missing-from-the?ref=category
1,"MOTI, Inc.",San Francisco,$,"MOTI gives you tangible reminders and instant gratification to build a better you. Backed by science, built with design.",2016-10-19,106416.0,212%,MOTI | Your Smart Companion for Better Habits,CA,MOTI,https://www.kickstarter.com/projects/habitmoti/moti-your-smart-companion-for-better-habits?ref=category
1,GeeFi,New York,$,Unlimited Worldwide 4G Wi-Fi | No Roaming Fees | No SIM Cards | 100+ Countries | Connect up to 10 Devices | 5000maH Charger,2016-10-24,156354.0,781%,GeeFi | Unlimited 4G Wi-Fi Everywhere You Travel,NY,GeeFi | Unlimited 4G Wi-,https://www.kickstarter.com/projects/geefi/geefi-unlimited-4g-wi-fi-everywhere-you-travel?ref=category
1,FARASHA LLC,San Francisco,$,"The world’s first autonomous smartwatch that tracks cardiovascular health, blood pressure and customizes your workouts !",2016-11-05,232994.0,232%,SOWATCH,CA,SOWATCH,https://www.kickstarter.com/projects/761213838/sowatch?ref=category
1,WAZER,Bronx,$,Cut any material with digital precision using high pressure water. A compact waterjet for every workshop.,2016-11-11,1398519.0,1398%,The First Desktop Waterjet Cutter,NY,The,https://www.kickstarter.com/projects/1294137530/the-first-desktop-waterjet-cutter?ref=category
1,Peng Lee,San Jose,$,XPUMP unleashes immersive sound with the touch of your fingertips. Hear the difference.,2016-10-21,165639.0,662%,XPUMP | TURN ANY SOUND SOURCE INTO A HOME THEATER EXPERIENCE,CA,XPUMP,https://www.kickstarter.com/projects/819767230/xpump-turn-any-sound-source-into-a-home-theater-ex?ref=category
1,McBee Audio Labs by Daniel McBrearty,Antwerp,€,The Mighty Flea combines the sound and looks of a vintage guitar amp with the portability of a laptop.,2016-10-19,2346.0,29%,The Mighty Flea - The Jazz Guitar Amp That Goes Where You Go,Antwerp,The Mighty Flea -,https://www.kickstarter.com/projects/danmcb/the-mighty-flea-the-jazz-guitar-amp-that-goes-wher?ref=category
1,Motion Engineering,France,€,Say au revoir to brake dive! The world’s first MTB fork with a 100% anti-dive system: safer riding and better all-round performance.,2016-11-12,29187.0,14%,Motion France : Dynamic Anti-Dive MTB Fork,Auvergne,Motion France : Dynamic Anti-,https://www.kickstarter.com/projects/929331044/motion-france-dynamic-anti-dive-mtb-fork?ref=category
1,S.H.E.N,London,£,Creating a low-cost open-source arsenic detector as an emergency response tool for use in refugee camps,2016-10-31,793.0,26%,Low-cost open-source arsenic detector for drinking water,England,Low-cost open-,https://www.kickstarter.com/projects/1499966707/low-cost-open-source-arsenic-detector-for-drinking?ref=category
1,Houman Nikmanesh,San Diego,$,"Powerful. Portable. Modular.  The World’s smallest water propulsion system for your snorkeling, diving, paddling & kayaking adventures.",2016-10-14,92246.0,73%,Bixpy Jet - The Most Powerful and Adaptive Water Jet Drive,CA,Bixpy Jet -,https://www.kickstarter.com/projects/bixpy/bixpy-jet-modular-and-portable-waterjet-propulsion?ref=category
1,ScratchyCAD,Norfolk,$,"Easy to learn 3D design software for 3D printing, animation, and game creation using a block based programming language.",2016-11-15,2936.0,11%,ScratchyCAD: Parametric 3D Design Software For Everyone.,VA,ScratchyCAD:,https://www.kickstarter.com/projects/862048718/scratchycad-parametric-3d-design-software-for-ever?ref=category
1,Tiny Labs,San Diego,$,Copy and consolidate up to four RFID keyfobs/keycards.,2016-10-28,35236.0,176%,Keysy - The RFID Duplicator,CA,Keysy -,https://www.kickstarter.com/projects/tinylabs/keysy-the-rfid-duplicator?ref=category
1,Chipsetter,Hamilton,$,"The reliable and affordable desktop pick-and-place machine for every workshop. Assemble your own PCB prototypes, get to market faster.",2016-10-27,73201.0,52%,Chipsetter ONE: A desktop pick-and-place machine,ON,Chipsetter ONE: A desktop pick-and-,https://www.kickstarter.com/projects/chipsetter/chipsetter-one-a-desktop-pick-and-place-machine?ref=category
1,Leafboard,Walnut,$,"Weighing 9.7 lbs and achieving speeds of up to 19 mph, Leafboard is the lightest electric skateboard affordable for everyone.",2016-11-05,194822.0,389%,"Leafboard, Super Portable and Stylish Electric Skateboard",CA,"Leafboard,",https://www.kickstarter.com/projects/leafboard/the-lightest-and-most-affordable-electric-skateboa?ref=category
1,QingYing E&T LLC,Shanghai,$,"A tiny digital microscope - slim, easy lens switching, flexible with additional modules for transmission and polarizing function.",2016-10-27,3795.0,12%,iMICROSCOPE RT - a solid professional smartphone microscope,Shanghai,iMICROSCOPE RT -,https://www.kickstarter.com/projects/1289187249/imicroscope-rt-a-solid-professional-smartphone-mic?ref=category
1,Boris Zarco,Florence,€,"Where is Internet, Internet anywhere at low cost",2016-10-19,2.0,0%,Where is Internet,Tuscany,Where is Internet,https://www.kickstarter.com/projects/1104587638/where-is-internet?ref=category
1,Lightning 3D,Nottingham,£,"High performance, Double exposure 3D printing. 3.8cm per hour print speed, switchable 30 or 62 micron xy resolution.",2016-10-14,28821.0,144%,"Lightning - Double Exposure, UV DLP 3D Printer",England,"Lightning - Double Exposure,",https://www.kickstarter.com/projects/82986351/lightning-double-exposure-uv-dlp-3d-printer?ref=category
1,Rae Pufal,Miami,$,The Beer Machine uses your fingerprint to access beer in the fridge. The Beer Machine counts the beer you and your friends drink.,2016-12-06,11451.0,10%,The Beer Machine that keeps track of who's drink'n the beer!,FL,The,https://www.kickstarter.com/projects/198186652/the-beer-machine-that-keeps-track-of-whos-drinkn-t?ref=category
1,Nadine Dzolic,Nürnberg,€,"Eine einzigartige Babyliege - entwickelt, um Neugeborene und Eltern in den ersten Lebenswochen zu begleiten.",2016-11-22,5.0,0%,"Elvinn - Das Leben, angestimmt mit entspannten Saiten",Bavaria,"Elvinn - Das Leben,",https://www.kickstarter.com/projects/199482118/elvinn-das-leben-angestimmt-mit-entspannten-saiten?ref=category
1,Danny Noall,Salt Lake City,$,Custom flavor control with the turn of a dial. Attaches to ANY hydration pack in seconds. Flavor back-flow preventer.,2016-10-24,6756.0,56%,Infuze | | The World's First Hydration Pack Flavor Infuser,UT,Infuze,https://www.kickstarter.com/projects/infuze/infuze-the-worlds-first-hydration-pack-flavor-infu?ref=category
1,Brian Sanders,Salem,$,"A new LED retrofit module that is energy efficient, cool operating, easily installed, easily serviced, designed and made in the USA.",2016-11-27,450.0,0%,ClearLight LED Fluorescent Light Retrofit Module,NH,ClearLight,https://www.kickstarter.com/projects/384229302/clearlight-led-fluorescent-light-retrofit-module?ref=category
1,André Nydegger Wermundsen,Trondheim,kr,Objektiv. Troverdig. Enkel. Sjekk Maten gir deg sannheten om matvarene basert på norske myndigheters kostholdsråd,2016-10-19,31700.0,25%,Sjekk Maten - din kostholdsekspert i lommeformat,Sor-Trondelag,Sjekk Maten -,https://www.kickstarter.com/projects/armanvestad/sjekk-maten-din-kostholdsekspert-i-lommeformat?ref=category
